ts,kst,cycleId,total,cash,holdingValue,profitRate
2026-09-19T10:10:00.000Z,2026-09-19 19:10:00,20260919-1910,9999999.99,6180000.22,3819999.77,0
2026-09-20T10:10:00.000Z,2026-09-20 19:10:00,20260920-1910,9919159.79,5859380.64,4059779.15,-0.008084
2026-09-21T10:10:00.000Z,2026-09-21 19:10:00,20260921-1910,10111100.28,6529663.5,3581436.78,0.01111
2026-09-22T10:44:26.338Z,2026-09-22 19:44:26,20260922-1942,10206117.16,5829619.85,4376497.31,0.020612
